word,Type of Word,Attribute Class
naan,Attribute,Food
pear,Attribute,Food
pumpkin,Attribute,Food
wasabi,Attribute,Food
asada,Attribute,Food
clams,Attribute,Food
feta,Attribute,Food
herb,Attribute,Food
legs,Attribute,Food
nut,Attribute,Food
roast,Attribute,Food
sesame,Attribute,Food
biscuit,Attribute,Food
bourbon,Attribute,Food
brownie,Attribute,Food
buffalo,Attribute,Food
carte,Attribute,Food
cheesy,Attribute,Food
chop,Attribute,Food
chorizo,Attribute,Food
cocoa,Attribute,Food
palate,Attribute,Food
root,Attribute,Food
snack,Attribute,Food
tapas,Attribute,Food
acidity,Attribute,Food
bakery,Attribute,Food
biscuits,Attribute,Food
cups,Attribute,Food
diner,Attribute,Food
english,Attribute,Food
mascarpone,Attribute,Food
mignon,Attribute,Food
topping,Attribute,Food
baguette,Attribute,Food
boba,Attribute,Food
burrito,Attribute,Food
cheek,Attribute,Food
chops,Attribute,Food
crepes,Attribute,Food
flatbread,Attribute,Food
fork,Attribute,Food
frosting,Attribute,Food
marinara,Attribute,Food
mixture,Attribute,Food
peas,Attribute,Food
walnuts,Attribute,Food
apps,Attribute,Food
candy,Attribute,Food
carpaccio,Attribute,Food
donut,Attribute,Food
horseradish,Attribute,Food
jalape?,Attribute,Food
kalbi,Attribute,Food
lasagna,Attribute,Food
oven,Attribute,Food
apples,Attribute,Food
bass,Attribute,Food
beets,Attribute,Food
berry,Attribute,Food
cornbread,Attribute,Food
description,Attribute,Food
fennel,Attribute,Food
jelly,Attribute,Food
kale,Attribute,Food
marshmallow,Attribute,Food
pizzas,Attribute,Food
cod,Attribute,Food
herbs,Attribute,Food
vegetable,Attribute,Food
brussels,Attribute,Food
cajun,Attribute,Food
carnevino,Attribute,Food
cheeses,Attribute,Food
hamachi,Attribute,Food
kimchi,Attribute,Food
leaf,Attribute,Food
lines,Attribute,Food
muffin,Attribute,Food
peanuts,Attribute,Food
pecans,Attribute,Food
pretzel,Attribute,Food
soups,Attribute,Food
vietnamese,Attribute,Food
albacore,Attribute,Food
bernaise,Attribute,Food
charcuterie,Attribute,Food
macaron,Attribute,Food
platter,Attribute,Food
powder,Attribute,Food
product,Attribute,Food
scoop,Attribute,Food
vinegar,Attribute,Food
butterscotch,Attribute,Food
caesar,Attribute,Food
cracker,Attribute,Food
liver,Attribute,Food
mediterranean,Attribute,Food
pies,Attribute,Food
ponzu,Attribute,Food
takeout,Attribute,Food
tikka,Attribute,Food
tortillas,Attribute,Food
watermelon,Attribute,Food
bones,Attribute,Food
crawfish,Attribute,Food
doughnuts,Attribute,Food
feast,Attribute,Food
frites,Attribute,Food
milkshake,Attribute,Food
mountain,Attribute,Food
seaweed,Attribute,Food
bagel,Attribute,Food
dough,Attribute,Food
grits,Attribute,Food
bar,Attribute,Food
drinks,Attribute,Food
drink,Attribute,Food
wine,Attribute,Food
water,Attribute,Food
cocktails,Attribute,Food
cocktail,Attribute,Food
beers,Attribute,Food
refills,Attribute,Food
sorbet,Attribute,Food
alcohol,Attribute,Food
rum,Attribute,Food
glasses,Attribute,Food
espresso,Attribute,Food
juice,Attribute,Food
bottle,Attribute,Food
refill,Attribute,Food
vodka,Attribute,Food
booth,Attribute,Food
champagne,Attribute,Food
booths,Attribute,Food
juices,Attribute,Food
sangria,Attribute,Food
soda,Attribute,Food
margarita,Attribute,Food
liquor,Attribute,Food
latte,Attribute,Food
liquid,Attribute,Food
vegas,Attribute,Location
strip,Attribute,Location
spot,Attribute,Location
town,Attribute,Location
location,Attribute,Location
las,Attribute,Location
city,Attribute,Location
located,Attribute,Location
parking,Attribute,Location
spots,Attribute,Location
street,Attribute,Location
trip,Attribute,Location
downtown,Attribute,Location
shop,Attribute,Location
station,Attribute,Location
country,Attribute,Location
bay,Attribute,Location
park,Attribute,Location
locations,Attribute,Location
square,Attribute,Location
island,Attribute,Location
ny,Attribute,Location
venetian,Attribute,Location
california,Attribute,Location
nearby,Attribute,Location
price,Attribute,Price
worth,Attribute,Price
check,Attribute,Price
prices,Attribute,Price
deal,Attribute,Price
offer,Attribute,Price
pay,Attribute,Price
total,Attribute,Price
card,Attribute,Price
change,Attribute,Price
priced,Attribute,Price
cost,Attribute,Price
bill,Attribute,Price
save,Attribute,Price
pricey,Attribute,Price
pricing,Attribute,Price
worthy,Attribute,Price
spend,Attribute,Price
charge,Attribute,Price
money,Attribute,Price
buy,Attribute,Price
paying,Attribute,Price
ratio,Attribute,Price
sample,Attribute,Price
sampler,Attribute,Price
fare,Attribute,Price
credit,Attribute,Price
spent,Attribute,Price
paid,Attribute,Price
discount,Attribute,Price
service,Attribute,Service
time,Attribute,Service
server,Attribute,Service
served,Attribute,Service
brought,Attribute,Service
wait,Attribute,Service
times,Attribute,Service
minutes,Attribute,Service
staff,Attribute,Service
bowl,Attribute,Service
person,Attribute,Service
list,Attribute,Service
line,Attribute,Service
selection,Attribute,Service
glass,Attribute,Service
variety,Attribute,Service
servers,Attribute,Service
offered,Attribute,Service
guy,Attribute,Service
serve,Attribute,Service
tip,Attribute,Service
waiting,Attribute,Service
reservation,Attribute,Service
serving,Attribute,Service
presentation,Attribute,Service
counter,Attribute,Service
cup,Attribute,Service
level,Attribute,Service
concept,Attribute,Service
waited,Attribute,Service
hostess,Attribute,Service
greeted,Attribute,Service
waiter,Attribute,Service
stand,Attribute,Service
idea,Attribute,Service
owner,Attribute,Service
chefs,Attribute,Service
giving,Attribute,Service
manager,Attribute,Service
received,Attribute,Service
attention,Attribute,Service
bartender,Attribute,Service
waitress,Attribute,Service
delivered,Attribute,Service
request,Attribute,Service
reservations,Attribute,Service
executed,Attribute,Service
call,Attribute,Service
michael,Attribute,Service
online,Attribute,Service
chain,Attribute,Service
poured,Attribute,Service
suggested,Attribute,Service
tableside,Attribute,Service
stood,Attribute,Service
customers,Attribute,Service
fill,Attribute,Service
woman,Attribute,Service
execution,Attribute,Service
seats,Attribute,Service
suggest,Attribute,Service
customer,Attribute,Service
playing,Attribute,Service
treated,Attribute,Service
understand,Attribute,Service
chef's,Attribute,Service
cobbler,Attribute,Service
explained,Attribute,Service
guest,Attribute,Service
smile,Attribute,Service
informed,Attribute,Service
lady,Attribute,Service
mistake,Attribute,Service
hospitality,Attribute,Service
advice,Attribute,Service
restaurant,Attribute,general
people,Attribute,Service
told,Attribute,Service
lot,Attribute,Location
home,Attribute,Location
store,Attribute,Location
car,Attribute,Location
called,Attribute,Service
hotel,Attribute,Location
fried,Attribute,Food
front,Attribute,Ambiance
business,Attribute,general
starch,Attribute,Food
tasted,Attribute,Food
walk,Attribute,Location
restaurants,Attribute,general
makes,Attribute,Food
walked,Attribute,Location
guys,Attribute,Service
cut,Attribute,Food
lots,Attribute,Location
phone,Attribute,Service
sit,Attribute,Service
drive,Attribute,Location
local,Attribute,Location
seated,Attribute,Service
sat,Attribute,Service
amount,Attribute,Price
seating,Attribute,Ambiance
pool,Attribute,Ambiance
office,Attribute,Ambiance
appointment,Attribute,Service
sitting,Attribute,Service
employees,Attribute,Service
de,Attribute,Location
girl,Attribute,Service
walking,Attribute,Location
watch,Attribute,Service
bought,Attribute,Price
phoenix,Attribute,Location
prepared,Attribute,Food
hands,Attribute,Service
minute,Attribute,Service
talk,Attribute,Service
desk,Attribute,Ambiance
overhead,Attribute,Price
hungry,Attribute,Food
seat,Attribute,Service
mouth,Attribute,Food
questions,Attribute,Service
specials,Attribute,Food
filled,Attribute,Service
girls,Attribute,Service
share,Attribute,Food
der,Attribute,Location
center,Attribute,Location
tostadas,Attribute,Food
bathroom,Attribute,Ambiance
bed,Attribute,Ambiance
management,Attribute,Service
cash,Attribute,Price
school,Attribute,Location
grab,Attribute,Food
dogs,Attribute,Food
toronto,Attribute,Location
charged,Attribute,Price
tasting,Attribute,Food
book,Attribute,Ambiance
owners,Attribute,Service
process,Attribute,Service
services,Attribute,Service
vegetarian,Attribute,Food
plant,Attribute,Food
plants,Attribute,Food
platain,Attribute,Food
platains,Attribute,Food
products,Attribute,Food
airport,Attribute,Location
building,Attribute,Location
attitude,Attribute,Service
scottsdale,Attribute,Location
window,Attribute,Ambiance
air,Attribute,Ambiance
cook,Attribute,Service
resort,Attribute,Location
valley,Attribute,Location
color,Attribute,Ambiance
neighborhood,Attribute,Location
market,Attribute,Location
team,Attribute,Service
seasoned,Attribute,Food
tv,Attribute,Ambiance
craving,Attribute,Food
shops,Attribute,general
blue,Attribute,Ambiance
games,Attribute,Ambiance
dollars,Attribute,Price
homemade,Attribute,Food
chairs,Attribute,Ambiance
cleaning,Attribute,Service
bucks,Attribute,Price
pass,Attribute,Location
split,Attribute,Price
shot,Attribute,Food
mins,Attribute,Context
grill,Attribute,Food
groupon,Attribute,Price
pictures,Attribute,Ambiance
environment,Attribute,Ambiance
dance,Attribute,Ambiance
guests,Attribute,Service
employee,Attribute,Service
fee,Attribute,Price
beat,Attribute,Ambiance
cheaper,Attribute,Price
baby,Attribute,Context
purchased,Attribute,Price
pm,Attribute,Context
roasted,Attribute,Food
provided,Attribute,Service
charlotte,Attribute,Location
desert,Attribute,Food
fat,Attribute,Food
rate,Attribute,Price
accommodating,Attribute,Service
road,Attribute,Location
west,Attribute,Location
offers,Attribute,Price
answer,Attribute,Service
classic,Attribute,Ambiance
boy,Attribute,Service
range,Attribute,Location
bars,Attribute,Food
north,Attribute,Location
hidden,Attribute,Location
south,Attribute,Location
dress,Attribute,Service
pittsburgh,Attribute,Location
provide,Attribute,Service
east,Attribute,Location
workers,Attribute,Service
cashier,Attribute,Service
walls,Attribute,Ambiance
pour,Attribute,Service
driving,Attribute,Location
relaxing,Attribute,Ambiance
complaints,Attribute,Service
montreal,Attribute,Location
arizona,Attribute,Location
bartenders,Attribute,Service
cleaned,Attribute,Ambiance
flavour,Attribute,Food
wrap,Attribute,Food
explain,Attribute,Service
coupon,Attribute,Price
smoke,Attribute,Ambiance
security,Attribute,Service
pop,Attribute,Food
dim,Attribute,Ambiance
soggy,Attribute,Food
picture,Attribute,Ambiance
donuts,Attribute,Food
cooking,Attribute,Food
gluten,Attribute,Food
drinking,Attribute,Food
children,Attribute,Ambiance
dollar,Attribute,Price
furniture,Attribute,Ambiance
grocery,Attribute,Food
owned,Attribute,Service
moist,Attribute,Food
pita,Attribute,Food
st,Attribute,Location
sale,Attribute,Price
board,Attribute,Ambiance
screen,Attribute,Ambiance
cleveland,Attribute,Location
